# Self-published geofeed as defined in datatracker.ietf.org/doc/html/rfc8805,,,,
# lastupdated (rfc3339): 2026-01-28T13:49:30+01:00,,,,
prefix,country,region,city,postal_code
185.133.48.0/24,DE,,Frankfurt,
185.133.49.0/24,DE,,Frankfurt,
185.133.50.0/24,DE,,Frankfurt,
185.133.51.0/24,DE,,Frankfurt,
185.162.44.0/24,LT,,Vilnius,
185.162.45.0/24,LT,,Vilnius,
185.162.46.0/24,LT,,Vilnius,
185.162.47.0/24,LT,,Vilnius,
185.163.52.0/24,LT,,Vilnius,
185.163.53.0/24,LT,,Vilnius,
185.163.54.0/24,LT,,Vilnius,
185.163.55.0/24,LT,,Vilnius,
185.169.3.0/24,DE,,Frankfurt,
185.171.96.0/24,DE,,Frankfurt,
185.171.97.0/24,DE,,Frankfurt,
185.171.98.0/24,DE,,Frankfurt,
185.171.99.0/24,DE,,Frankfurt,
185.174.252.0/24,US,US-NY,New York,
185.174.253.0/24,US,US-NY,New York,
185.174.254.0/24,US,US-NY,New York,
185.174.255.0/24,US,US-NY,New York,
185.175.210.0/24,CA,,,
185.175.211.0/24,CA,,,
185.175.232.0/24,DE,,Frankfurt,
185.175.233.0/24,DE,,Frankfurt,
185.175.234.0/24,DE,,Frankfurt,
185.175.235.0/24,DE,,Frankfurt,
185.176.228.0/24,DE,,Frankfurt,
185.176.229.0/24,DE,,Frankfurt,
185.176.230.0/24,DE,,Frankfurt,
185.176.231.0/24,DE,,Frankfurt,
185.176.252.0/24,DE,,Frankfurt,
185.176.253.0/24,DE,,Frankfurt,
185.176.254.0/24,DE,,Frankfurt,
185.176.255.0/24,DE,,Frankfurt,
185.178.32.0/24,DE,,Frankfurt,
185.178.33.0/24,DE,,Frankfurt,
185.178.34.0/24,DE,,Frankfurt,
185.178.35.0/24,DE,,Frankfurt,
185.178.72.0/24,DE,,Frankfurt,
185.178.73.0/24,DE,,Frankfurt,
185.178.74.0/24,DE,,Frankfurt,
185.178.75.0/24,DE,,Frankfurt,
185.179.152.0/24,DE,,Frankfurt,
185.179.153.0/24,DE,,Frankfurt,
185.179.154.0/24,DE,,Frankfurt,
185.179.155.0/24,DE,,Frankfurt,
185.181.112.0/24,DE,,Frankfurt,
185.181.113.0/24,DE,,Frankfurt,
185.181.114.0/24,DE,,Frankfurt,
185.181.115.0/24,DE,,Frankfurt,
185.181.120.0/24,DE,,Frankfurt,
185.181.121.0/24,DE,,Frankfurt,
